,Date,Time,local,visit,g_loc,g_vis,m_loc,m_vis,PossH,PossA,TSH,TSA,On_TargetH,On_TargetA,Off_TargetH,Off_TargetA,BlockedH,BlockedA,PassingpcH,PassingpcA,ClearCutChancesH,ClearCutChancesA,CornersH,CornersA,OffsidesH,OffsidesA,TacklespcH,TacklespcA,AerialDuelspcH,AerialDuelspcA,SavesH,SavesA,FoulsCommittedH,FoulsCommittedA,FoulsWonH,FoulsWonA,YellowCardsH,YellowCardsA,RedCardsH,RedCardsA,Stadium,Attendance,Referee,Assistants,Fourth_official,VAR,Assistant_VAR
32,8/05/2023,15:00,Fulham,Leicester,5,3,"[10, 70, 18, 44, 51]","[59, 89, 81]",57.1,42.9,17.0,18.0,7.0,9.0,5.0,4.0,5.0,5.0,82.0,76.8,2.0,2.0,2.0,7.0,1.0,4.0,63.6,57.1,64.0,36.0,6.0,2.0,13.0,15.0,15.0,11.0,0.0,3.0,0.0,0.0,Craven Cottage,24442,Robert Jones,"Wade Smith, Ian Hussin",Peter Bankes,Jarred Gillet,Harry Lennard
33,8/05/2023,17:30,Brighton,Everton,1,5,[79],"[1, 29, 35, 76, 90]",77.7,22.3,23.0,10.0,5.0,5.0,9.0,1.0,9.0,4.0,88.7,65.2,2.0,4.0,15.0,1.0,1.0,1.0,63.6,57.9,45.7,54.3,1.0,4.0,11.0,13.0,13.0,11.0,1.0,5.0,0.0,0.0,Amex Stadium,31567,Simon Hooper,"Adrian Holmes, Mark Scholes",Graham Scott,Darren England,Matt Wilkes
34,8/05/2023,20:00,N Forest,"""Soton""",4,3,"[18, 21, 44, 73]","[25, 51, 90]",35.9,64.1,9.0,19.0,4.0,5.0,3.0,9.0,2.0,5.0,69.6,83.4,1.0,4.0,2.0,11.0,3.0,1.0,40.0,66.7,60.0,40.0,2.0,0.0,16.0,10.0,9.0,16.0,1.0,0.0,0.0,0.0,The City Ground,29154,Michael Oliver,"Stuart Burt, Lee Betts",Thomas Bramall,Paul Tierney,Neil Davies
35,7/05/2023,16:30,Newcastle,Arsenal,0,2,[],"[14, 71]",54.3,45.7,12.0,10.0,5.0,6.0,4.0,2.0,3.0,2.0,79.7,79.2,2.0,2.0,9.0,4.0,0.0,1.0,50.0,78.3,58.6,41.4,5.0,5.0,16.0,12.0,11.0,16.0,2.0,1.0,0.0,0.0,"""St James Park",50267,Chris Kavanagh,"Nick Greenhalgh, Richard West",Anthony Taylor,Michael Salisbury,Scott Ledger
36,7/05/2023,19:00,West Ham,Man Utd,1,0,[27],[],34.7,65.3,15.0,19.0,4.0,4.0,5.0,12.0,6.0,3.0,76.2,86.5,2.0,1.0,6.0,5.0,1.0,1.0,41.2,50.0,53.1,46.9,4.0,3.0,4.0,9.0,8.0,3.0,0.0,2.0,0.0,0.0,London Stadium,62477,Peter Bankes,"Edward Smart, Simon Bennett",Paul Tierney,Stuart Attwell,Darren Cann
37,6/05/2023,15:00,"""Bmouth""",Chelsea,1,3,[21],"[9, 82, 86]",34.0,66.0,10.0,11.0,4.0,5.0,4.0,5.0,2.0,1.0,75.4,88.2,1.0,2.0,7.0,7.0,1.0,0.0,56.3,91.7,50.0,50.0,2.0,3.0,9.0,11.0,9.0,8.0,1.0,3.0,0.0,0.0,Vitality Stadium,10357,John Brooks,"Matt Wilkes, Timothy Wood",Gavin Ward,Peter Bankes,Dan Robathan
38,6/05/2023,15:00,Man City,Leeds,2,1,"[19, 27]",[85],80.9,19.1,18.0,4.0,6.0,2.0,10.0,1.0,2.0,1.0,91.1,59.7,2.0,0.0,10.0,1.0,4.0,3.0,71.4,50.0,52.0,48.0,1.0,4.0,3.0,16.0,15.0,3.0,0.0,3.0,0.0,0.0,Etihad Stadium,53406,Andy Madley,"Nicholas Hopton, Harry Lennard",Thomas Bramall,Simon Hooper,Natalie Aspinall
39,6/05/2023,15:00,Tottenham,C Palace,1,0,[45],[],57.5,42.5,8.0,7.0,3.0,2.0,3.0,3.0,2.0,2.0,84.0,75.4,3.0,0.0,8.0,4.0,1.0,0.0,46.2,73.3,63.3,36.7,2.0,2.0,15.0,14.0,13.0,15.0,3.0,5.0,0.0,0.0,Tottenham Hotspur Stadium,61093,Darren England,"Daniel Cook, Constantine Hatzidakis",Robert Jones,Neil Swarbrick,Sian Massey
40,6/05/2023,15:00,Wolves,A Villa,1,0,[9],[],38.0,62.0,6.0,16.0,2.0,3.0,2.0,6.0,2.0,7.0,73.5,85.9,1.0,2.0,5.0,6.0,3.0,2.0,69.2,70.0,32.1,67.9,3.0,1.0,20.0,9.0,9.0,20.0,3.0,3.0,0.0,0.0,Molineux,31641,Stuart Attwell,"James Mainwaring, Simon Long",Steve Martin,Tony Harrington,Steven Meredith
41,6/05/2023,17:30,Liverpool,Brentford,1,0,[13],[],53.9,46.1,15.0,5.0,5.0,1.0,6.0,3.0,4.0,1.0,81.5,74.8,2.0,0.0,7.0,3.0,1.0,2.0,55.6,54.5,50.0,50.0,2.0,4.0,19.0,10.0,9.0,19.0,4.0,2.0,0.0,0.0,Anfield,52838,Anthony Taylor,"Gary Beswick, Adam Nunn",Graham Scott,Andre Marriner,Marc Perry
